Symbolic_Maths,Natural_Language
B ⊇ R,Set B contains set R
W ⊇ U,Set W contains set U
z ∈ Y ∪ Z ↔ (z ∈ Y ∨ z ∈ Z),z is an element of Y union Z if and only if z is an element of Y or z is an element of Z
‖C‖_F,the Frobenius norm of matrix C
u + x,the sum of vectors u and x
‖M‖₁,the 1-norm of matrix M
(A + B)ᵀ,the transpose of the sum of matrices A and B
Aᵀw,the transpose of matrix A times vector w
u - y,the difference of vectors u and y
k ∈ S \ C,k is an element of S but not in C
p → r,if p then r
W ∩ A,The intersection of W and A
m ∈ S ∩ Z ↔ (m ∈ S ∧ m ∈ Z),m is an element of the intersection of S and Z if and only if m is in both S and Z
BᵀCᵀ,the transpose of B times the transpose of C
T ⊆ X,T is a subset of X
C ∪ Q,The union of C and Q
(v + x) ⋅ a,the dot product of the sum of v and x with a
Xijective (f : T → X),f is bijective from T to X
Pijective (f : C → P),f is bijective from C to P
a ∈ T,The element a is an element of set T
nullity(L),the nullity of linear transformation L
(r ↔ p) ∧ (q ↔ s),"r if and only if p, and q if and only if s"
k ∈ B ∩ V ↔ (k ∈ B ∧ k ∈ V),k is an element of the intersection of B and V if and only if k is in both B and V
"C × U = {(a, b) | a ∈ C ∧ b ∈ U}","The Cartesian product C × U is the set of all ordered pairs (a, b) where a ∈ C and b ∈ U"
r → (q → (p → s)),if r then if q then if p then s
(cM)ᵀ,the transpose of c times matrix M
t ∈ Vᶜ ↔ t ∉ V,t is an element of the complement of V if and only if t is not in V
𝒫(P) = {S | S ⊆ P},The power set of P is the set of all subsets of P
(C ∪ Y)ᶜ = Cᶜ ∩ Yᶜ,The complement of the union of C and Y equals the intersection of their complements
∀x in the domain Q(x),"for all x in the domain, Q(x) is true"
M = LLᵀ,matrix M equals L times L transpose
(cA)ᵀ,the transpose of c times matrix A
Y ⊆ T ∧ T ⊆ A → Y ⊆ A,"If Y ⊆ T and T ⊆ A, then Y ⊆ A"
a ∈ R,The element a is an element of set R
A†,the pseudoinverse of matrix A
f: ℝⁿ → ℝᵐ,f is a linear transformation from n-dimensional to m-dimensional real space
Pᵢⱼ,the entry in row i and column j of matrix P
w + u + a,"the sum of vectors w, u, and a"
cond(B),the condition number of matrix B
"∃y in D, Q(y)",there exists y in D such that Q(y)
c ∈ U ∩ T ↔ (c ∈ U ∧ c ∈ T),c is an element of the intersection of U and T if and only if c is in both U and T
Surjective (f : Q → R),f is surjective from Q to R
wᵀBw,the quadratic form w transpose B w
(s ∨ r) ∧ (q ∨ p),"either s or r, and either q or p"
Bu = λu,the eigenvalue equation B times u equals lambda times u
t ∈ A ∪ U ↔ (t ∈ A ∨ t ∈ U),t is an element of A union U if and only if t is an element of A or t is an element of U
p ∨ ¬p,p or not p is a tautology
¬(t ∧ s ∧ t) ↔ (¬t ∨ ¬s ∨ ¬t),"not all of t, s, and t is esuivalent to not t, ot not s, ot not t"
∃x in the natural numbers (Even(x) ∧ Odd(x)),there exists x in the natural numbers such that both Even(x) and Odd(x)
"∀x R(x, x)","for all x, R(x, x) holds"
V ∩ (V ∪ S) = V,Vbsorption law for intersection: V ∩ (V ∪ S) = V
"∃! x ∈ A, P x",There exists a unique element x in A satisfying P
W ⊇ A,Set W contains set A
v ∈ S ∪ P ↔ (v ∈ S ∨ v ∈ P),v is an element of S union P if and only if v is an element of S or v is an element of P
"y = [y₁, y₂, y₃]","the vector y with components y1, y2, and y3"
∃z (R(z) ∧ S(z)),there exists z such that both R(z) and S(z) are true
A ⊆ B ↔ A ∩ B = A,A is a subset of B if and only if their intersection equals A
det(C - μI) = 0,the determinant of matrix C minus μ times the identity equals zero
Tijective (f : X → T),f is bijective from X to T
S ∩ T,The intersection of S and T
p → A,p entails A
Uᶜ = ∅,The complement of the universal set is the empty set
y ∈ Sᶜ ↔ y ∉ S,y is an element of the complement of S if and only if y is not in S
z ∈ Y ∪ A ↔ (z ∈ Y ∨ z ∈ A),z is an element of Y union A if and only if z is an element of Y or z is an element of A
∀y (Q(y) → S(y)),"for all y, if Q(y) then S(y)"
(r ∨ q) ∧ (p ∨ s),"either r or q, and either p or s"
w ⋅ (y + a),the dot product of w with the sum of y and a
s ↔ t,s if and only if t
w ∈ C ∩ A ↔ (w ∈ C ∧ w ∈ A),w is an element of the intersection of C and A if and only if w is in both C and A
comp_w(v),the component of v along w
t ↔ A,t and A have the same truth value
∃!z Q(z),there is exactly one z for which Q of z holds
∀x in the real numbers (Prime(x) → Positive(x)),"for all x in the real numbers, if Prime(x) then Positive(x)"
"Injective f → ∀ x y ∈ V, f x = f y → x = y","If f is injective, then for all x, y in V, f(x) = f(y) implies x = y"
U ∩ V,The intersection of U and V
Finite Y ∧ Finite R → Finite (Y ∪ R),"If Y is finite and R is finite, then Y ∪ R is finite"
(Pᵀ)ᵢⱼ,the i j entry of the transpose of matrix P
Aᶜ,The complement of A
(Qᵀ)ᵢⱼ,the i j entry of the transpose of matrix Q
‖B‖*,the nuclear norm of matrix B
∀x in D P(x),"for all x in D, P(x) is true"
A ∩ U = A,The intersection of A and the universal set equals A
p → (q ∨ r),if p then either q or r
v + y,the sum of vectors v and y
Ax = 0,the homogeneous linear system A times x equals zero
U ⊆ V → Vᶜ ⊆ Uᶜ,"If U ⊆ V, then Vᶜ ⊆ Uᶜ"
p ∨ (r ∧ q),p or both r and q
W + V,the sum of subspaces W and V
∃!y R(y),there is exactly one y for which R of y holds
‖z‖,the norm of vector z
∀y (P(y) ↔ R(y)),"for all y, P(y) if and only if R(y)"
f : Z → X,f maps Z into X
∀y (Q(y) ∨ R(y)),"for all y, either Q(y) or R(y) is true"
((P → Q) ∧ P) → Q,"if P imPlies Q and P, then Q"
y ∉ X,y is not a member of set X
AᵀMᵀ,the transpose of A times the transpose of M
∀z (P(z) ∧ S(z)),"for all z, both P(z) and S(z) are true"
Au,matrix A times vector u
M ∈ ℝ³ˣ³,matrix M is a 3 by 3 real matrix
k ∉ X,k is not a member of set X
det(M - λI) = 0,the determinant of matrix M minus λ times the identity equals zero
Bⁿ,matrix B to the power n
∀z Q(z),"for every z, Q of z holds"
P ⊆ U ∧ U ⊆ Y → P ⊆ Y,"If P ⊆ U and U ⊆ Y, then P ⊆ Y"
∀y (P(y) ∧ S(y)),"for all y, both P(y) and S(y) are true"
(CM)ᵀ,the transpose of the product of matrices C and M
r ∨ t,r or t
u ∈ Q ∪ A ↔ (u ∈ Q ∨ u ∈ A),u is an element of Q union A if and only if u is an element of Q or u is an element of A
(p ∨ q),p or q
Z ⊆ W,Z is a subset of W
wᵢ,the i-th component of vector w
B is symmetric,matrix B is symmetric
Bₘₙ,the m by n matrix B
r → (r ∨ s),if r then r or s
v ∉ B,v is not a member of set B
w = [w₁; w₂; w₃],"the column vector w with components w1, w2, and w3"
null(T),the null space of linear transformation T
tr(αB),the trace of α times matrix B
r ∧ A,r is true and A is true
Av = u,the linear system A times v equals u
A = B ↔ ∀x (x ∈ A ↔ x ∈ B),"A equals B if and only if for all x, x is an element of A if and only if x is an element of B"
∀x in the domain D Odd(x),"for all x in the domain D, Odd(x)"
yᵢ,the i-th component of vector y
p ∨ t,either p or t
BᵀPᵀ,the transpose of B times the transpose of P
"∀ S, S ⊆ B → S ∈ 𝒫(B)",Every subset of B is an element of the power set of B
∀a P(a),"for every a, P of a holds"
Disjoint V Vᶜ,V and its complement are disjoint
‖y‖∞,the infinity norm of vector y
Surjective (f : R → U),f is surjective from R to U
‖A‖₁,the 1-norm of matrix A
∀x P(x) ∧ ∃x ¬P(x),for all x P(x) and there exists x such that not P(x) is a contradiction
im(L),the image of linear transformation L
∃x in the domain D Odd(x),there exists x in the domain D such that Odd(x)
∃y (P(y) → R(y)),there exists y such that if P(y) then R(y)
"∃a in D, Q(a)",there exists a in D such that Q(a)
b ∈ W,The element b is an element of set W
q ∨ r,q or r
Q ∪ Qᶜ = univ,The union of Q and its complement equals the universal set
Q₃₃,the 3 by 3 matrix Q
"C × C = {(a, b) | a ∈ C ∧ b ∈ C}","The Cartesian product C × C is the set of all ordered pairs (a, b) where a ∈ C and b ∈ C"
(A ↔ B) ↔ ((A → B) ∧ (B → A)),A if and only if B is eBuivalent to if A then B and if B then A
A → r,A implies r
ℝ³,the 3-dimensional real coordinate space
(s ↔ r) ∧ (p ↔ q),"s if and only if r, and p if and only if q"
¬t,the negation of t
v2(B),the second eigenvector of matrix B
R ∩ (A ∪ A) = (R ∩ A) ∪ (R ∩ A),Intersection distributes over union: R ∩ (A ∪ A) = (R ∩ A) ∪ (R ∩ A)
"Injective f → ∀ x y ∈ U, f x = f y → x = y","If f is injective, then for all x, y in U, f(x) = f(y) implies x = y"
∃y (Q(y) → S(y)),there exists y such that if Q(y) then S(y)
A ∩ V,The intersection of A and V
p ↔ r,p if and only if r
f : U → V,f maps U into V
p ∧ q,p and q
Au = μu,matrix A times vector u equals μ times vector u
det(A - λI),the characteristic polynomial of matrix A
s ∈ W,The element s is an element of set W
∃x (Q(x) ∨ R(x)),there exists x such that either Q(x) or R(x) is true
∃x (R(x) ∨ S(x)),there exists x such that either R(x) or S(x) is true
"d(w, x)",the distance between vectors w and x
Q ∪ (A ∩ S) = (Q ∪ A) ∩ (Q ∪ S),Union distributes over intersection: Q ∪ (A ∩ S) = (Q ∪ A) ∩ (Q ∪ S)
A = PDP⁻¹,matrix A equals P times D times P inverse
∃a in D Q(a),there exists a in D such that Q(a) is true
Cv = μv,matrix C times vector v equals μ times vector v
U ∩ (A ∪ A) = (U ∩ A) ∪ (U ∩ A),Intersection distributes over union: U ∩ (A ∪ A) = (U ∩ A) ∪ (U ∩ A)
(Aᶜ)ᶜ = A,Double complement of A is A
"∀y in the domain, Q(y)","for all y in the domain, Q(y)"
tr(kA),the trace of k times matrix A
U ∩ Y,The intersection of U and Y
f : W → S,f maps W into S
p ↔ q,p is equivalent to q
r → s,if r then s
S ⊆ U,S is a subset of U
a ∈ Z ∪ B ↔ (a ∈ Z ∨ a ∈ B),a is an element of Z union B if and only if a is an element of Z or a is an element of B
T ⊆ V,Every element of T is an element of V
B⁻²,the inverse of B squared
(cC)ᵀ,the transpose of c times matrix C
"(v₁, v₂, v₃)","the vector with components v1, v2, and v3"
B ∈ ℝᵐˣⁿ,matrix B is an m by n real matrix
Au = λu,the eigenvalue equation A times u equals lambda times u
A = B,matrix A equals matrix B
x ∉ V,x is not a member of set V
P ⊆ X,Every element of P is an element of X
¬(A ∧ B ∧ C) ↔ (¬A ∨ ¬B ∨ ¬C),"not all of A, B, and C is eBuivalent to not A, oC not B, oC not C"
t ∉ W,t is not a member of set W
∃z (P(z) ∧ S(z)),there exists z such that both P(z) and S(z) are true
A - M,the difference of matrices A and M
s ∧ t,s and t
det(AM),the determinant of the product of matrices A and M
Z ⊆ A,Z is a subset of A
uᵀCu,the quadratic form u transpose C u
c ∈ Y \ R,c is an element of Y but not in R
x = [x₁; x₂; x₃],"the column vector x with components x1, x2, and x3"
c ∈ S \ P,c is an element of S but not in P
v2(A),the second eigenvector of matrix A
z ∈ Vᶜ ↔ z ∉ V,z is an element of the complement of V if and only if z is not in V
∃x in the domain R(x),there exists x in the domain such that R(x) is true
p → q,if p is true then q is true
SVD(C),the singular value decomposition of matrix C
v ⋅ (y + a),the dot product of v with the sum of y and a
(S ∩ W)ᶜ = Sᶜ ∪ Wᶜ,The complement of the intersection of S and W equals the union of their complements
|BP|,the determinant of the product of matrices B and P
"P × B = {(a, b) | a ∈ P ∧ b ∈ B}","The Cartesian product P × B is the set of all ordered pairs (a, b) where a ∈ P and b ∈ B"
λ2(A),the second eigenvalue of matrix A
(r ∨ s) ∧ (q ∨ p),"either r or s, and either q or p"
|x|,the magnitude of vector x
w ⋅ (z + a),the dot product of w with the sum of z and a
A³,matrix A cubed
"span(w₁, w₂, ..., wₖ)","the span of vectors w1, w2, through wk"
"w = [w₁, w₂]",the vector w with components w1 and w2
∃x in the real numbers (Prime(x) ∧ Positive(x)),there exists x in the real numbers such that both Prime(x) and Positive(x)
(t ↔ s) ↔ ((t ∧ s) ∨ (¬t ∧ ¬s)),"t if and only if s is esuivalent to both t and s, ot neithet t not s"
p ∧ r,p and r
A \ (B ∪ C) = (A \ B) ∩ (A \ C),Set difference distributes over union
b ∈ Z ∩ X ↔ (b ∈ Z ∧ b ∈ X),b is an element of the intersection of Z and X if and only if b is in both Z and X
A · v,matrix A applied to vector v
C ∩ (C ∪ W) = C,Cbsorption law for intersection: C ∩ (C ∪ W) = C
A ∩ B = ∅ ↔ A and B are disjoint,A intersected with B equals the empty set if and only if A and B are disjoint
V \ Y,The set difference V minus Y
Y ⊇ Q,Set Y contains set Q
X ⊆ V,Set X is a subset of set V
V ⊕ V,the direct sum of subspaces V and V
"∀ x ∈ R, P x","For all x in R, property P holds"
[A]ᵢⱼ,the i j entry of matrix A
(cB)⁻¹,the inverse of c times matrix B
R ⊇ B,Set R contains set B
Jf(x),the Jacobian of f at x
Y ⊆ B ∧ B ⊆ Y → Y = B,"If Y is a subset of B and B is a subset of Y, then Y equals B"
‖v - x‖,the distance between vectors v and x
‖M‖*,the nuclear norm of matrix M
∃!y S(y),there exists a unique y such that S(y) is true
b ∈ W \ X,b is an element of W but not in X
"∃x in the domain, P(x)",there exists x in the domain such that P(x)
B ∈ ℝⁿˣⁿ,matrix B is an n by n real matrix
det(kA),the determinant of k times matrix A
-w,the negative of vector w
‖w‖ₚ,the p-norm of vector w
A ⊆ R,A is a subset of R
"∀ x ∈ R, P x → Q x","For every element x in R, if P(x) then Q(x)"
∀y (R(y) ↔ S(y)),"for all y, R(y) if and only if S(y)"
"x = [x₁, x₂, ..., xₙ]","the vector x with components x1, x2, through xn"
Cw = λw,matrix C times vector w equals λ times vector w
S ∪ (S ∩ R) = S,Sbsorption law for union: S ∪ (S ∩ R) = S
Z ⊆ V,Every element of Z is an element of V
ku,the scalar k times vector u
∀z in the domain Q(z),"for every z in the domain, Q of z holds"
S × T,The Cartesian product of S and T
"∃x ∃y R(x, y)","there exist x and y such that R(x, y) holds"
y ∈ B ∪ P ↔ (y ∈ B ∨ y ∈ P),y is an element of B union P if and only if y is an element of B or y is an element of P
∀x in the domain D Prime(x),"for all x in the domain D, Prime(x)"
v ∈ Q ∩ W ↔ (v ∈ Q ∧ v ∈ W),v is an element of the intersection of Q and W if and only if v is in both Q and W
X ⊇ P,Set X contains set P
∃a Q(a),there is some a for which Q of a holds
𝒫(V) = {S | S ⊆ V},The power set of V is the set of all subsets of V
S ⊇ C,Set S contains set C
SVD(M),the singular value decomposition of matrix M
∃x in set S Positive(x),there exists x in set S such that Positive(x)
BC,the product of matrices B and C
A is positive definite,matrix A is positive definite
Z ⊇ P,Set Z contains set P
y ∉ R,y is not a member of set R
∃x in the domain Q(x),there exists x in the domain such that Q(x) is true
c ∈ Bᶜ ↔ c ∉ B,c is an element of the complement of B if and only if c is not in B
A × S,The Cartesian product of A and S
(p ↔ q) ∧ (r ↔ s),"p if and only if q, and r if and only if s"
x ∈ Q,The element x is an element of set Q
A + B,the sum of matrices A and B
P ∈ 𝒫(P),P is an element of its own power set
t ∈ Y,The element t is an element of set Y
|AC|,the determinant of the product of matrices A and C
"[u₁, u₂, u₃]","the vector with components u1, u2, and u3"
V ⊆ X ∧ X ⊆ V → V = X,"If V is a subset of X and X is a subset of V, then V equals X"
"∃x ∀y ∃z S(x, y, z)","there exists x such that for all y, there exists z such that S(x, y, z)"
V ⊇ Y,Set V contains set Y
det(B + C),the determinant of the sum of matrices B and C
A → (B ∨ C) ↔ (A → B) ∨ (A → C),"if A then B oC C is eBuivalent to if A then B, oC if A then C"
s ↔ A,s is equivalent to A
Cᵀw,the transpose of matrix C times vector w
∀x in the natural numbers Prime(x),"for all x in the natural numbers, Prime(x)"
S ⊆ W,S is a subset of W
A × R,The Cartesian product of A and R
c ∈ Q \ V,c is an element of Q but not in V
T \ C,The set difference T minus C
s ∨ A,s is true or A is true
v ⋅ (z + b),the dot product of v with the sum of z and b
"∃ S ⊆ P, S ≠ ∅",There exists a subset S of P that is non-empty
r → (p ∧ q),if r then both p and q
s ∨ t,either s or t
∃x in the natural numbers (Odd(x) ∧ Prime(x)),there exists x in the natural numbers such that both Odd(x) and Prime(x)
tr(cC),the trace of c times matrix C
cA,the scalar c times matrix A
"∃ x ∈ V, Q x",There exists an element x in V such that property Q holds
"∃z in D, Q(z)",there exists z in D such that Q(z)
(Z ∪ U)ᶜ = Zᶜ ∩ Uᶜ,The complement of the union of Z and U equals the intersection of their complements
"∃z ∃a R(z, a)","there exist z and a such that R(z, a) is true"
t ∈ X ∪ A ↔ (t ∈ X ∨ t ∈ A),t is an element of X union A if and only if t is an element of X or t is an element of A
tr(C²),the trace of C squared
"∀ x ∈ V, P x","For all x in V, property P holds"
R ⊆ X ∧ X ⊆ R → R = X,"If R is a subset of X and X is a subset of R, then R equals X"
z ∈ T ∪ Q ↔ (z ∈ T ∨ z ∈ Q),z is an element of T union Q if and only if z is an element of T or z is an element of Q
Disjoint Y P → Y ∩ P = ∅,"If Y and P are disjoint, then Y ∩ P = ∅"
k ∈ X,The element k is an element of set X
"∃z in the domain, P(z)",there exists z in the domain such that P(z)
(C ∩ T)ᶜ = Cᶜ ∪ Tᶜ,The complement of the intersection of C and T equals the union of their complements
"∀ x ∈ C, P x → Q x","For every element x in C, if P(x) then Q(x)"
R ⊇ P,Set R contains set P
(p → q) ↔ (¬q → ¬p),if p then q is equivalent to if not q then not p
S × W,The Cartesian product of S and W
U ⊆ univ,Every set U is a subset of the universal set
"∃y, Q(y)",there exists y such that Q(y)
p ∨ A,p or A
(w + z) ⋅ a,the dot product of the sum of w and z with a
"∀x ∃y ∀z S(x, y, z)","for all x, there exists y such that for all z, S(x, y, z)"
y ∉ Q,y is not a member of set Q
¬t,not t
U ⊆ Y,Every element of U is an element of Y
k ∉ C,k is not a member of set C
comp_x(v),the component of v along x
p ∧ q,both p and q
∃!z P(z),there exists one and only one z such that P(z)
S × Z,The Cartesian product of S and Z
∀x (P(x) ∨ S(x)),"for all x, either P(x) or S(x) is true"
f '' Y,The image of set Y under function f
(Q ∪ Q)ᶜ = Qᶜ ∩ Qᶜ,The complement of the union of Q and Q equals the intersection of their complements
A ∧ ¬A,A and not A is a contradiction
det(B) = Πλᵢ,the determinant of B equals the product of its eigenvalues
w ⋅ (u + a),the dot product of w with the sum of u and a
Surjective (f : V → X),f is surjective from V to X
V ⊇ C,Set V contains set C
e₁,the first standard basis vector
p → A,if p is true then A is true
w ∈ X \ T,w is an element of X but not in T
¬q,the negation of q
"∀ S ⊆ V, Finite S","For all subsets S of V, S is finite"
tr(C + M),the trace of the sum of matrices C and M
R ∩ (Q ∪ S) = (R ∩ Q) ∪ (R ∩ S),Intersection distributes over union: R ∩ (Q ∪ S) = (R ∩ Q) ∪ (R ∩ S)
P = [Pᵢⱼ],the matrix P with entries P i j
‖y‖₁,the L1 norm of vector y
q → r,if q is true then r is true
∀z (S(z) → z = a),"for all z, if S(z) then z equals a"
"∀ S ⊆ Y, Finite S","For all subsets S of Y, S is finite"
w ∈ B ∪ Q ↔ (w ∈ B ∨ w ∈ Q),w is an element of B union Q if and only if w is an element of B or w is an element of Q
R ⊇ Y,Set R contains set Y
∃!x Q(x),there exists one and only one x such that Q(x)
C⁺,the Moore-Penrose pseudoinverse of matrix C
C is lower triangular,matrix C is lower triangular
C ∪ R,The union of C and R
det(B - μI) = 0,the determinant of matrix B minus μ times the identity equals zero
t → q,t implies q
(w + x) ⋅ a,the dot product of the sum of w and x with a
W ⊇ X,Set W contains set X
î,the unit vector in the x direction
‖v‖ₚ,the p-norm of vector v
C = PDP⁻¹,matrix C equals P times D times P inverse
"∃x ∀z P(x, z)","there exists x such that for all z, P(x, z) is true"
S ⊆ Z,S is a subset of Z
(Cᵀ)ᵢⱼ,the i j entry of the transpose of matrix C
y ∉ C,y is not a member of set C
w ⋅ (x + a),the dot product of w with the sum of x and a
∃x in the integers Odd(x),there exists x in the integers such that Odd(x)
v + w + a,"the sum of vectors v, w, and a"
∀x (Q(x) ↔ R(x)),"for all x, Q(x) if and only if R(x)"
‖B‖₁,the 1-norm of matrix B
S ⊆ S ∪ U,S is a subset of the union of S and U
A → r,if A then r
Bᵀx,the transpose of matrix B times vector x
k ∈ C ∩ P ↔ (k ∈ C ∧ k ∈ P),k is an element of the intersection of C and P if and only if k is in both C and P
"∀ S, S ⊆ V → S ∈ 𝒫(V)",Every subset of V is an element of the power set of V
(B - λI)v = 0,matrix B minus λ times the identity matrix times vector v equals zero
∀x in the domain R(x),"for every x in the domain, R of x holds"
w ∉ X,w is not a member of set X
(r ↔ q) ∧ (s ↔ p),"r if and only if q, and s if and only if p"
p ↔ A,p is true if and only if A is true
‖A‖_F,the Frobenius norm of matrix A
AᵀB,the transpose of A times B
a ∈ Y ∪ Q ↔ (a ∈ Y ∨ a ∈ Q),a is an element of Y union Q if and only if a is an element of Y or a is an element of Q
C³,matrix C cubed
"∃y ∃z P(y, z)","there exist y and z such that P(y, z) is true"
B ∪ Y,The union of B and Y
"z = [z₁, z₂, z₃]","the vector z with components z1, z2, and z3"
[B]ᵢⱼ,the i j entry of matrix B
(Q ∪ W)ᶜ = Qᶜ ∩ Wᶜ,The complement of the union of Q and W equals the intersection of their complements
∀y (P(y) ∧ R(y)),"for all y, both P(y) and R(y) are true"
z ∈ X ∩ Y ↔ (z ∈ X ∧ z ∈ Y),z is an element of the intersection of X and Y if and only if z is in both X and Y
"∀ x, x ∉ ∅",No element is an element of the empty set
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
b ∈ U,The element b is an element of set U
q → t,if q is true then t is true
∀y (P(y) ∨ S(y)),"for all y, either P(y) or S(y) is true"
q → s,q entails s
¬B,not B
"∃x ∀y T(x, y)","there exists x such that for all y, T(x, y) holds"
S ∩ A ⊆ S,The intersection of S and A is a subset of S
p → q ↔ ¬(p ∧ ¬q),if p then q is equivalent to not both p and not q
f : Z → Q,f maps Z into Q
∃!x R(x),there exists a unique x such that R(x) is true
σ₁(B) ≥ σ₂(B) ≥ ... ≥ σᵣ(B),the singular values of B in descending order
W ∩ (P ∪ Q) = (W ∩ P) ∪ (W ∩ Q),Intersection distributes over union: W ∩ (P ∪ Q) = (W ∩ P) ∪ (W ∩ Q)
change of basis matrix,the change of basis matrix
W ⊇ R,Set W contains set R
∀x in set S (Positive(x) → Even(x)),"for all x in set S, if Positive(x) then Even(x)"
∃x in the integers (Prime(x) ∧ Positive(x)),there exists x in the integers such that both Prime(x) and Positive(x)
(q ∧ r) → (p ∨ s),if both q and r then either p or s
det(cA),the determinant of c times matrix A
"∀y in the domain, P(y)","for all y in the domain, P(y)"
¬∀x P(x) ↔ ∃x ¬P(x),not for all x P(x) is equivalent to there exists x such that not P(x)
A → q,A implies q
"diag(a₁, a₂, ..., aₙ)","the diagonal matrix with diagonal entries a1, a2, through an"
w ∈ P ∩ U ↔ (w ∈ P ∧ w ∈ U),w is an element of the intersection of P and U if and only if w is in both P and U
S ∪ X,The union of S and X
∀x in the integers Even(x),"for all x in the integers, Even(x)"
det(BM),the determinant of the product of matrices B and M
T(v + w),T applied to the sum of v and w
(u + x) ⋅ a,the dot product of the sum of u and x with a
v ∈ X,The element v is an element of set X
m ∈ P \ A,m is an element of P but not in A
AᵀBᵀ,the transpose of A times the transpose of B
Q ∪ (Q ∩ S) = Q,Qbsorption law for union: Q ∪ (Q ∩ S) = Q
(q ∧ s) → (p ∨ r),if both q and s then either p or r
∅ᶜ = U,The complement of the empty set is the universal set
B†,the pseudoinverse of matrix B
(αB)⁻¹,the inverse of α times matrix B
p → s,p entails s
q ∧ t,both q and t
t ↔ A,t is equivalent to A
∀y P(y),"for all y, P(y) is true"
"∀x in D, R(x)","for all x in D, R(x)"
∃x (R(x) ∧ S(x)),there exists x such that both R(x) and S(x) are true
∃z (Q(z) ∨ S(z)),there exists z such that either Q(z) or S(z) is true
tr(M),the trace of matrix M
r → A,r entails A
U ⊇ R,Set U contains set R
v · y,the dot product of vectors v and y
v ⊗ w ⊗ y,"the tensor product of v, w, and y"
L(x),the linear operator L applied to vector x
∀x (Q(x) ∨ S(x)),"for all x, either Q(x) or S(x) is true"
y ∈ Z ∩ B ↔ (y ∈ Z ∧ y ∈ B),y is an element of the intersection of Z and B if and only if y is in both Z and B
Q ∩ W,The intersection of Q and W
(q ∧ p) → (s ∨ r),if both q and p then either s or r
q → t,q entails t
"∃! x ∈ C, P x",There exists a unique element x in C satisfying P
det(cB),the determinant of c times matrix B
(w - z) × b,the cross product of the difference of w and z with b
S \ U,The set difference S minus U
(p ∨ r) ∧ (q ∨ s),"either p or r, and either q or s"
∃x (f(x) = c),there exists x such that f(x) equals c
log(B),the matrix logarithm of B
(C ∪ Q)ᶜ = Cᶜ ∩ Qᶜ,The complement of the union of C and Q equals the intersection of their complements
"∀x ∀y Loves(x, y)","for all x and y, Loves(x, y) holds"
"∃x (S(x) ∧ ∀y U(x, y))","there exists x such that S(x) and for all y, U(x, y)"
QR,the QR decomposition
∃x (R(x) → S(x)),there exists x such that if R(x) then S(x)
∀t (R(t) → t = a),"for all t, if R(t) then t equals a"
¬∃y R(y) ↔ ∀y ¬R(y),not there exists y R(y) is equivalent to for all y not R(y)
W ∩ X,The intersection of W and X
Bv = w,the linear system B times v equals w
"∀x ∀y R(x, y)","for all x and y, R(x, y) holds"
∃x in the domain P(x),there is some x in the domain for which P of x holds
p → t,p implies t
Z ⊇ X,Set Z contains set X
(v + u) ⋅ b,the dot product of the sum of v and u with b
(V ∪ R)ᶜ = Vᶜ ∩ Rᶜ,The complement of the union of V and R equals the intersection of their complements
‖u‖ₚ,the p-norm of vector u
Z ∩ X,The intersection of Z and X
"(v, x)",the inner product of v and x
λ1(B),the first eigenvalue of matrix B
Y ∪ P,The union of Y and P
"∀x ∀y R(x, y)","for all x and for all y, R(x, y) is true"
C is upper triangular,matrix C is upper triangular
"w = [w₁, w₂, ..., wₙ]","the vector w with components w1, w2, through wn"
(p ∧ r),p and r
U ⊇ Y,Set U contains set Y
∃y (P(y) ∨ S(y)),there exists y such that either P(y) or S(y) is true
∅ ⊆ P,The empty set is a subset of every set P
f ⁻¹' V,The preimage of set V under function f
B · w,matrix B applied to vector w
(Vᶜ)ᶜ = V,Double complement of V is V
(p ↔ r) ∧ (q ↔ s),"p if and only if r, and q if and only if s"
n ∈ V ∪ Q ↔ (n ∈ V ∨ n ∈ Q),n is an element of V union Q if and only if n is an element of V or n is an element of Q
B ⊆ R,B is a subset of R
r ∧ ¬r,r and not r is a contradiction
det(C²),the determinant of C squared
(p ∧ s) → (r ∨ q),if both p and s then either r or q
U ∪ (U ∩ X) = (U ∪ U) ∩ (U ∪ X),Union distributes over intersection: U ∪ (U ∩ X) = (U ∪ U) ∩ (U ∪ X)
r ∨ A,either r or A
|v|,the magnitude of vector v
¬p,the negation of p
W ⊆ univ,Every set W is a subset of the universal set
R ⊆ R ∪ X,R is a subset of the union of R and X
T ∩ (T ∪ P) = T,Absorption law for intersection: T ∩ (T ∪ P) = T
n ∈ P ∪ X ↔ (n ∈ P ∨ n ∈ X),n is an element of P union X if and only if n is an element of P or n is an element of X
T ⊆ B,Every element of T is an element of B
p ∧ ⊥ ↔ ⊥,p and false is equivalent to false
t → q,if t then q
R ⊆ W,Every element of R is an element of W
∃!z S(z),there exists a unique z such that S(z) is true
A ∈ ℝⁿˣⁿ,matrix A is an n by n real matrix
Q ⊆ P,Every element of Q is an element of P
s ↔ A,s if and only if A
U \ Q,The set difference U minus Q
q ∧ (p ∨ r),q and either p or r
BP,the product of matrices B and P
"∀x ∀y Q(x, y)","for all x and for all y, Q(x, y) is true"
"∀x ∃y ∀z F(x, y, z)","for all x, there exists y such that for all z, F(x, y, z)"
t ∈ C \ U,t is an element of C but not in U
