Symbolic_Maths,Natural_Language
¬∃x P(x) ↔ ∀x ¬P(x),not there exists x P(x) is equivalent to for all x not P(x)
∃x in the integers Odd(x),there exists x in the integers such that Odd(x)
"∃x in the domain, Q(x)",there exists x in the domain such that Q(x)
∃z in the domain P(z),there exists z in the domain such that P(z) is true
(r → s) → ((s → r) → (r → r)),if r imrlies s then if s imrlies r then r imrlies r
B†,the pseudoinverse of matrix B
"v = [v₁, v₂]",the vector v with components v1 and v2
kB,the scalar k times matrix B
√C,the matrix square root of C
C²,matrix C squared
w × u,the cross product of vectors w and u
"∀z in the domain, P(z)","for all z in the domain, P(z)"
p ∨ r,p is true or r is true
s ∨ t,s is true or t is true
((r → s) ∧ r) → s,"if r imrlies s and r, then s"
¬t,not t
p → (q → (s → r)),if p then if q then if s then r
σ₁(B) ≥ σ₂(B) ≥ ... ≥ σᵣ(B),the singular values of B in descending order
(B + M)ᵀ,the transpose of the sum of matrices B and M
‖A‖,the norm of matrix A
(cM)ᵀ,the transpose of c times matrix M
|BM|,the determinant of the product of matrices B and M
∃!y S(y),there exists a unique y such that S(y)
∀a in D Q(a),"for all a in D, Q(a) is true"
v ⊗ u ⊗ y,"the tensor product of v, u, and y"
r → s,r implies s
(u - x) × a,the cross product of the difference of u and x with a
Av = μv,matrix A times vector v equals μ times vector v
cC,the scalar c times matrix C
‖y‖,the norm of vector y
"x = [x₁, x₂]",the vector x with components x1 and x2
A = PDP⁻¹,matrix A equals P times D times P inverse
q → t,if q is true then t is true
∀x (Q(x) ∨ R(x)),"for all x, either Q(x) or R(x) is true"
A → s,A implies s
Q ∈ ℝ³ˣ³,matrix Q is a 3 by 3 real matrix
(C - μI)w = 0,matrix C minus μ times the identity matrix times vector w equals zero
"∃x (S(x) ∧ ∀y U(x, y))","there exists x such that S(x) and for all y, U(x, y)"
∃x in the integers (Positive(x) ∧ Even(x)),there exists x in the integers such that both Positive(x) and Even(x)
M = QΛQᵀ,matrix M equals Q times Lambda times Q transpose
pinv(A),the pseudoinverse of matrix A
(q ∨ r) ∧ p,"either q or r, and also p"
(w + x) ⋅ b,the dot product of the sum of w and x with b
∀x (P(x) ∧ S(x)),"for all x, both P(x) and S(x) are true"
(p ∨ q) ∧ (s ∨ r),"either p or q, and either s or r"
"∀x ∀y ∀z ((T(x, y) ∧ T(y, z)) → T(x, z))","for all x, y, and z, if T(x, y) and T(y, z) then T(x, z)"
∀x in the domain Q(x),"for all x in the domain, Q(x) is true"
"∀x, Q(x)","for all x, Q(x)"
p → q ↔ ¬(p ∧ ¬q),if p then q is equivalent to not both p and not q
σ3(A),the third singular value of matrix A
"∃x ∃a P(x, a)","there exist x and a such that P(x, a) is true"
∀y Q(y),"for every y, Q of y holds"
cond(B),the condition number of matrix B
A ≺ 0,matrix A is negative definite
"{v₁, v₂, ..., vₙ} forms a basis","the vectors v1, v2, through vn form a basis"
"∃x ∀y ∃z F(x, y, z)","there exists x such that for all y, there exists z such that F(x, y, z)"
"⟨w, u⟩",the inner product of w and u
rank(C),the rank of matrix C
"∀a in the domain, Q(a)","for all a in the domain, Q(a)"
"∀y ∃a R(y, a)","for all y, there exists a such that R(y, a) is true"
A = UΣVᵀ,matrix A equals U times Sigma times V transpose
AᵀM,the transpose of A times M
Bu = λu,matrix B times vector u equals λ times vector u
"(u₁, u₂, u₃)","the vector with components u1, u2, and u3"
v ⋅ (x + b),the dot product of v with the sum of x and b
nullity(B),the nullity of matrix B
∃x ∀y (P(y) → y = x),"there exists x such that for all y, if P(y) then y equals x"
Q₃₃,the 3 by 3 matrix Q
A ∈ ℝᵐˣⁿ,matrix A is an m by n real matrix
(C + M)⁻¹,the inverse of the sum of matrices C and M
B*,the conjugate transpose of matrix B
‖x‖ₚ,the p-norm of vector x
(αM)⁻¹,the inverse of α times matrix M
im(L),the image of linear transformation L
∀x in D P(x),"for every x in D, P of x holds"
B ≈ C,matrix B is approximately equal to matrix C
∃x P(x) ∨ Q(y),there exists x P(x) or Q(y)
"{u₁, u₂, ..., uₙ} is linearly independent","the vectors {u₁, u₂, ..., uₙ} are linearly independent"
det(kA),the determinant of k times matrix A
B · v,matrix B applied to vector v
"d(u, x)",the distance between vectors u and x
s → t,s entails t
B is positive definite,matrix B is positive definite
∃x R(x),there is some x for which R of x holds
e^M,the matrix exponential of M
M is diagonal,matrix M is diagonal
v ⋅ (x + a),the dot product of v with the sum of x and a
αv,the scalar alpha times vector v
xᵀ,the transpose of vector x
(B - λI)u = 0,matrix B minus λ times the identity matrix times vector u equals zero
‖M‖₂,the 2-norm of matrix M
∀z (P(z) → Q(z)),"for all z, if P(z) then Q(z)"
κ(B),the condition number of matrix B
Bu = x,the linear system B times u equals x
M = PDP⁻¹,matrix M equals P times D times P inverse
Cₘₙ,the m by n matrix C
p ↔ t,p is equivalent to t
q → r,q entails r
C · w,matrix C applied to vector w
B²,matrix B squared
ABᵀ,matrix A times the transpose of B
Bᵀx,the transpose of matrix B times vector x
s → r,if s then r
u + x,the sum of vectors u and x
∃z (P(z) → S(z)),there exists z such that if P(z) then S(z)
"∀x ∀y (S(x) ∧ T(y) → ∃z U(x, y, z))","for all x and y, if S(x) and T(y) then there exists z such that U(x, y, z)"
det(αA),the determinant of α times matrix A
M⁻¹,the inverse of matrix M
(A - μI)v = 0,matrix A minus μ times the identity matrix times vector v equals zero
(AM)ᵀ,the transpose of the product of matrices A and M
∃y Q(y),there is some y for which Q of y holds
B ∧ ¬B,B and not B is a contradiction
|A|,the determinant of matrix A
chol(B),the Cholesky decomposition of matrix B
p ∧ r,both p and r
cw,the scalar c times vector w
A · P,the product of matrices A and P
proj_x(w),the projection of w onto x
"span{v₁, v₂, v₃}","the span of vectors v1, v2, and v3"
(q ∧ p) → (s ∨ r),if both q and p then either s or r
det(C - λI) = 0,the determinant of matrix C minus λ times the identity equals zero
t ↔ A,t is equivalent to A
r → (r ∨ s),if r then r or s
∀z (P(z) ∨ R(z)),"for all z, either P(z) or R(z) is true"
σ1(C),the first singular value of matrix C
"⟨v, u⟩",the inner product of vectors v and u
(q ∧ r) → (p ∨ s),if both q and r then either p or s
∀z P(z),"for all z, P(z) is true"
∃x in the domain D (Prime(x) ∧ Positive(x)),there exists x in the domain D such that both Prime(x) and Positive(x)
nullity(C),the nullity of matrix C
f: V → ℝ,f is a linear functional from V to the reals
λ3(C),the third eigenvalue of matrix C
change of basis matrix,the change of basis matrix
w + u,the sum of vectors w and u
∃a in D Q(a),there exists a in D such that Q(a) is true
I,the identity matrix
‖u‖₂,the Euclidean norm of vector u
w ⋅ (z + a),the dot product of w with the sum of z and a
A → (B ∨ C) ↔ (A → B) ∨ (A → C),"if A then B oC C is eBuivalent to if A then B, oC if A then C"
(p ∧ r) ∨ q,"either both p and r, or q"
∀x in the natural numbers (Positive(x) → Even(x)),"for all x in the natural numbers, if Positive(x) then Even(x)"
"x = [x₁, x₂, ..., xₙ]","the vector x with components x1, x2, through xn"
S ⊆ ℝⁿ,S is a subspace of n-dimensional real space
∃x in the domain D (Positive(x) ∧ Even(x)),there exists x in the domain D such that both Positive(x) and Even(x)
tr(A) = Σλᵢ,the trace of A equals the sum of its eigenvalues
∃x in set S Prime(x),there exists x in set S such that Prime(x)
q ↔ t,q is equivalent to t
w ∈ ℝⁿ,vector w is in the n-dimensional real space
QR,the QR decomposition
¬q,not q
∀y (Q(y) ↔ R(y)),"for all y, Q(y) if and only if R(y)"
∀y Q(y),"for all y, Q(y) is true"
"∃x ∀y P(x, y)","there exists x such that for all y, P(x, y) is true"
|P|,the determinant of matrix P
w ⋅ u,the dot product of vectors w and u
C = PDP⁻¹,matrix C equals P times D times P inverse
∃y in the domain P(y),there exists y in the domain such that P(y) is true
"∃x ∀y S(x, y)","there exists x such that for all y, S(x, y) holds"
"∀y ∃z P(y, z)","for all y, there exists z such that P(y, z) is true"
zᵢ,the i-th component of vector z
‖C‖∞,the infinity norm of matrix C
p → (r → (s → q)),if p then if r then if s then q
B · u,matrix B applied to vector u
(v - y) × a,the cross product of the difference of v and y with a
(P → Q) ↔ (¬Q → ¬P),if P then Q is eQuivalent to if not Q then not P
(A ↔ B) ↔ ((A → B) ∧ (B → A)),A if and only if B is eBuivalent to if A then B and if B then A
(p ∧ q) → r,if both p and q then r
"∀x ∃z R(x, z)","for all x, there exists z such that R(x, z) is true"
(∀x P(x)) ∨ (∀x Q(x)) → ∀x (P(x) ∨ Q(x)),"if foC all x P(x) oC foC all x Q(x), then foC all x, P(x) oC Q(x)"
∃z P(z),there is some z for which P of z holds
p ∧ t,p is true and t is true
q ∧ A,q is true and A is true
(B - μI)v = 0,matrix B minus μ times the identity matrix times vector v equals zero
A is diagonal,matrix A is diagonal
p → A,if p is true then A is true
∀a in D Q(a),"for every a in D, Q of a holds"
p ∧ A,both p and A
"∀y ∃a Q(y, a)","for all y, there exists a such that Q(y, a) is true"
"∀y in the domain, P(y)","for all y in the domain, P(y)"
(kM)ᵀ,the transpose of k times matrix M
"⟨v, y⟩",the inner product of vectors v and y
(r ∧ p) ∨ q,"either both r and p, or q"
p_C(λ) = 0,the characteristic equation of matrix C
e^B,the matrix exponential of B
"∃a in D, P(a)",there exists a in D such that P(a)
[P]ᵢⱼ,the i j entry of matrix P
¬∃y R(y) ↔ ∀y ¬R(y),not there exists y R(y) is equivalent to for all y not R(y)
∃x (Q(x) ∧ S(x)),there exists x such that both Q(x) and S(x) are true
∀x in the domain D Positive(x),"for all x in the domain D, Positive(x)"
‖w + u‖²,the squared norm of the sum of w and u
s → A,if s is true then A is true
Au = λu,the matrix A times vector u equals the scalar lambda times vector u
"∃x ∃y (∀z F(z, x) ∧ ∀z G(z, y))","there exist x and y such that for all z, F(z, x) and for all z, G(z, y)"
col(A),the column space of matrix A
(A - λI)w = 0,matrix A minus λ times the identity matrix times vector w equals zero
"∀y ∀a P(y, a)","for all y and for all a, P(y, a) is true"
"∀y ∀a Q(y, a)","for all y and for all a, Q(y, a) is true"
CMᵀ,matrix C times the transpose of M
"∀z ∃a R(z, a)","for all z, there exists a such that R(z, a) is true"
t → s,if t then s
A⁺,the Moore-Penrose pseudoinverse of matrix A
L: ℝⁿ → ℝᵐ,L is a linear transformation from n-dimensional to m-dimensional real space
p ↔ A,p is equivalent to A
p ∧ (r ∨ q),p and either r or q
(A → B) → ((B → r) → (A → r)),if A imAlies B then if B imAlies r then A imAlies r
Aᵀu,the transpose of matrix A times vector u
∀x in the real numbers (Odd(x) → Prime(x)),"for all x in the real numbers, if Odd(x) then Prime(x)"
(C - λI)v = 0,matrix C minus λ times the identity matrix times vector v equals zero
t → s,t implies s
s ∧ t,s and t
σ3(C),the third singular value of matrix C
v ∥ w,vector v is parallel to vector w
standard basis for ℝⁿ,the standard basis for n-dimensional real space
"∃x ∃a Q(x, a)","there exist x and a such that Q(x, a) is true"
((p → q) ∧ p) → q,"if p implies q and p, then q"
Bv = λv,matrix B times vector v equals λ times vector v
A ≻ 0,matrix A is positive definite
"⟨w, x⟩",the inner product of w and x
q ∨ (p ∧ r),q or both p and r
p → s,if p is true then s is true
q ∨ r,q or r
w ⋅ x,the dot product of vectors w and x
-v,the negative of vector v
∃x in the domain D Positive(x),there exists x in the domain D such that Positive(x)
C = [Cᵢⱼ],the matrix C with entries C i j
(s ∨ p) ∧ (r ∨ q),"either s or p, and either r or q"
A · w,matrix A applied to vector w
∀x (P(x) → Q) ↔ (∃x P(x) → Q),foC all x if P(x) then Q is eBuivalent to if theCe exists x P(x) then Q
tr(A),the trace of matrix A
tr(kM),the trace of k times matrix M
∀x in the domain D (Positive(x) → Even(x)),"for all x in the domain D, if Positive(x) then Even(x)"
"∃x ∃y P(x, y)","there exist x and y such that P(x, y) is true"
B = P,matrix B equals matrix P
∃z in D P(z),there exists z in D such that P(z) is true
comp_x(w),the component of w along x
‖y‖₂,the Euclidean norm of vector y
B = QR,matrix B equals Q times R
r ↔ s,r is true if and only if s is true
v ⋅ u,the dot product of vectors v and u
∃x (R(x) → S(x)),there exists x such that if R(x) then S(x)
‖v + y‖²,the squared norm of the sum of v and y
‖M‖₁,the 1-norm of matrix M
r ∨ A,r or A
∀y (P(y) ∨ Q(y)),"for all y, either P(y) or Q(y) is true"
"∃x ∃y R(x, y)","there exist x and y such that R(x, y) is true"
r → A,if r is true then A is true
A ∈ ℝ³ˣ³,matrix A is a 3 by 3 real matrix
Qᵢⱼ,the entry in row i and column j of matrix Q
∀x (Q(x) → R(x)),"for all x, if Q(x) then R(x)"
∃!z P(z),there is exactly one z for which P of z holds
W ⊕ V,the direct sum of subspaces W and V
(kB)⁻¹,the inverse of k times matrix B
"∀x in the domain, Q(x)","for all x in the domain, Q(x)"
kA,the scalar k times matrix A
det(C + M),the determinant of the sum of matrices C and M
s → (q → (r → p)),if s then if q then if r then p
∃!y P(y),there exists one and only one y such that P(y)
∀y (P(y) ∧ S(y)),"for all y, both P(y) and S(y) are true"
s → (p → (q → r)),if s then if p then if q then r
A = B,matrix A equals matrix B
k̂,the unit vector in the z direction
∃z (Q(z) → R(z)),there exists z such that if Q(z) then R(z)
null(A),the null space of matrix A
"(w, u)",the inner product of w and u
‖A‖₂,the 2-norm of matrix A
∀x in the real numbers Positive(x),"for all x in the real numbers, Positive(x)"
∀t (S(t) → t = a),"for all t, if S(t) then t equals a"
Ax,matrix A times vector x
A is invertible,matrix A is invertible
w + u + a,"the sum of vectors w, u, and a"
vᵀu,the transpose of v times u
(C + M)ᵀ,the transpose of the sum of matrices C and M
C + M,the sum of matrices C and M
comp_u(w),the component of w along u
(q ∧ t),q and t
BM,the product of matrices B and M
|C|,the determinant of matrix C
(αC)⁻¹,the inverse of α times matrix C
q ↔ s,q is true if and only if s is true
A ≈ M,matrix A is approximately equal to matrix M
(s ↔ q) ∧ (p ↔ r),"s if and only if q, and p if and only if r"
r → t,if r is true then t is true
"∃z, P(z)",there exists z such that P(z)
tr(cA),the trace of c times matrix A
λₘᵢₙ(C),the smallest eigenvalue of C
"∀x ∀y (P(x) ∧ Q(y) → ∃z R(x, y, z))","for all x and y, if P(x) and Q(y) then there exists z such that R(x, y, z)"
‖y‖₁,the L1 norm of vector y
(r ∨ p) ∧ (s ∨ q),"either r or p, and either s or q"
(s ∧ p) → (q ∨ r),if both s and p then either q or r
t ∨ A,t is true or A is true
"⟨v, w⟩",the inner product of vectors v and w
"u = [u₁, u₂, u₃]","the vector u with components u1, u2, and u3"
A · x,matrix A applied to vector x
A = LLᵀ,matrix A equals L times L transpose
(A - μI)u = 0,matrix A minus μ times the identity matrix times vector u equals zero
∃!x Q(x),there exists one and only one x such that Q(x)
"∃x ∀y ∃z P(x, y, z)","there exists x such that for all y, there exists z such that P(x, y, z)"
t → r,t implies r
t → (s ∧ t) ↔ (t → s) ∧ (t → t),"if t then both s and t is esuivalent to if t then s, and if t then t"
B · C,the product of matrices B and C
"∀y, P(y)","for all y, P(y)"
LU,the LU decomposition
Bv = x,the linear system B times v equals x
"∀x ∃y S(x, y)","for all x, there exists y such that S(x, y) holds"
q ↔ s,q if and only if s
v ∧ w,the wedge product of vectors v and w
w · y,the dot product of vectors w and y
∃x in the domain D Prime(x),there exists x in the domain D such that Prime(x)
q → s,q implies s
w ∧ x,the wedge product of vectors w and x
∀a in D P(a),"for all a in D, P(a) is true"
∀y (S(y) → y = a),"for all y, if S(y) then y equals a"
tr(C) = Σλᵢ,the trace of C equals the sum of its eigenvalues
(cB)ᵀ,the transpose of c times matrix B
∃z in D P(z),there is some z in D for which P of z holds
∀x (Q(x) ∧ S(x)),"for all x, both Q(x) and S(x) are true"
p ↔ t,p and t have the same truth value
"∀x in D, R(x)","for all x in D, R(x)"
"∃x in the domain, P(x)",there exists x in the domain such that P(x)
im(T),the image of linear transformation T
AᵀC,the transpose of A times C
∃z in the domain Q(z),there is some z in the domain for which Q of z holds
[A; B],matrix A stacked above matrix B
v ∈ ℝⁿ,vector v is in the n-dimensional real space
"w = [w₁, w₂, ..., wₙ]","the vector w with components w1, w2, through wn"
∃x in set S Even(x),there exists x in set S such that Even(x)
q ↔ A,q and A have the same truth value
S ∩ V,the intersection of subspaces S and V
r ∧ s,both r and s
(w - y) × a,the cross product of the difference of w and y with a
∃a in the domain Q(a),there exists a in the domain such that Q(a) is true
"∃y in D, Q(y)",there exists y in D such that Q(y)
Mᵢⱼ,the entry in row i and column j of matrix M
∀x in the integers Positive(x),"for all x in the integers, Positive(x)"
CM,the product of matrices C and M
∀x in the domain R(x),"for every x in the domain, R of x holds"
¬B,the negation of B
C ∈ ℝⁿˣⁿ,matrix C is an n by n real matrix
C = QΛQᵀ,matrix C equals Q times Lambda times Q transpose
xᵢ,the i-th component of vector x
∃y (P(y) ∨ R(y)),there exists y such that either P(y) or R(y) is true
∃x in the real numbers Positive(x),there exists x in the real numbers such that Positive(x)
v ∧ x,the wedge product of vectors v and x
∃z (P(z) ∧ Q(z)),there exists z such that both P(z) and Q(z) are true
∃y (P(y) ∨ Q(y)),there exists y such that either P(y) or Q(y) is true
AB,the product of matrices A and B
u × x,the cross product of vectors u and x
q ∨ A,q is true or A is true
M²,matrix M squared
¬∀y R(y) ↔ ∃y ¬R(y),not for all y R(y) is equivalent to there exists y such that not R(y)
L(v),the linear operator L applied to vector v
"⟨u, x⟩",the inner product of vectors u and x
V + V,the sum of subspaces V and V
∃a in the domain Q(a),there is some a in the domain for which Q of a holds
p → (q → (r → s)),if p then if q then if r then s
((P → Q) ∧ ¬Q) → ¬P,"if P imPlies Q and not Q, then not P"
‖w - u‖,the distance between vectors w and u
∇²f(x) ⪰ 0,the Hessian of f at x is positive semidefinite
B - P,the difference of matrices B and P
Mv = μv,matrix M times vector v equals μ times vector v
∃x in set S Odd(x),there exists x in set S such that Odd(x)
p ∧ A,p is true and A is true
(r ↔ p) ∧ (s ↔ q),"r if and only if p, and s if and only if q"
|AP|,the determinant of the product of matrices A and P
Qₘₙ,the m by n matrix Q
Bᵀv,the transpose of matrix B times vector v
αu,the scalar alpha times vector u
Aₘₙ,the m by n matrix A
"v = [v₁, v₂, ..., vₙ]","the vector v with components v1, v2, through vn"
B is singular,matrix B is singular
r → s,r entails s
p → r,p entails r
∃x in set S (Odd(x) ∧ Prime(x)),there exists x in set S such that both Odd(x) and Prime(x)
tr(αB),the trace of α times matrix B
uᵀAu,the quadratic form u transpose A u
∃z (Q(z) ∧ R(z)),there exists z such that both Q(z) and R(z) are true
¬(A ∧ B ∧ C) ↔ (¬A ∨ ¬B ∨ ¬C),"not all of A, B, and C is eBuivalent to not A, oC not B, oC not C"
∀x (P(x) → R(x)),"for all x, if P(x) then R(x)"
∃z (Q(z) ∧ S(z)),there exists z such that both Q(z) and S(z) are true
"∀x ∀y (F(x) ∧ G(y) → ∃z H(x, y, z))","for all x and y, if F(x) and G(y) then there exists z such that H(x, y, z)"
∀t (Q(t) → t = a),"for all t, if Q(t) then t equals a"
r → q,r implies q
Mᵀ,the transpose of matrix M
A + C,the sum of matrices A and C
∀x (P(x) ∧ Q(x)) ↔ ∀x P(x) ∧ ∀x Q(x),for all x both P(x) and Q(x) is equivalent to for all x P(x) and for all x Q(x)
∃x in the real numbers Odd(x),there exists x in the real numbers such that Odd(x)
dim(U),the dimension of subspace U
∀x in the natural numbers (Odd(x) → Prime(x)),"for all x in the natural numbers, if Odd(x) then Prime(x)"
v ⋅ (y + a),the dot product of v with the sum of y and a
r → (q → (p → s)),if r then if q then if p then s
L(cv),L applied to c times v
∀z (P(z) ∧ S(z)),"for all z, both P(z) and S(z) are true"
U ⊕ V,the direct sum of subspaces U and V
A → q,if A then q
∀y (Q(y) → S(y)),"for all y, if Q(y) then S(y)"
range(A),the range of matrix A
(p ∨ q) ∧ r,"either p or q, and also r"
λₘₐₓ(A),the largest eigenvalue of A
Bᵀu,the transpose of matrix B times vector u
B = PDP⁻¹,matrix B equals P times D times P inverse
L(w),the linear operator L applied to vector w
"∃x ∃z Q(x, z)","there exist x and z such that Q(x, z) is true"
A · u,matrix A applied to vector u
∀y (P(y) ↔ Q(y)),"for all y, P(y) if and only if Q(y)"
